week_start,brand,region,search_index,sov_pct,search_wow_pct,search_mom_pct,search_yoy_pct,season_label,season_week_num
2023-08-13,nike,global,71.0,54.1985,-6.5789,1.4286,,SS23,23
2023-08-13,nike,korea,63.0,54.7826,-7.3529,-13.6986,,SS23,23
2023-08-13,adidas,global,33.0,25.1908,-5.7143,13.7931,,SS23,23
2023-08-13,adidas,korea,31.0,26.9565,0.0,-6.0606,,SS23,23
2023-08-13,puma,global,11.0,8.3969,-8.3333,0.0,,SS23,23
2023-08-13,puma,korea,7.0,6.087,-12.5,-30.0,,SS23,23
2023-08-13,new_balance,global,16.0,12.2137,-5.8824,14.2857,,SS23,23
2023-08-13,new_balance,korea,14.0,12.1739,27.2727,16.6667,,SS23,23
2023-08-20,nike,global,74.0,55.6391,4.2254,5.7143,,SS23,24
2023-08-20,nike,korea,66.0,56.4103,4.7619,-10.8108,,SS23,24
2023-08-20,adidas,global,32.0,24.0602,-3.0303,3.2258,,SS23,24
2023-08-20,adidas,korea,31.0,26.4957,0.0,-11.4286,,SS23,24
2023-08-20,puma,global,11.0,8.2707,0.0,-8.3333,,SS23,24
2023-08-20,puma,korea,7.0,5.9829,0.0,-22.2222,,SS23,24
2023-08-20,new_balance,global,16.0,12.0301,0.0,6.6667,,SS23,24
2023-08-20,new_balance,korea,13.0,11.1111,-7.1429,8.3333,,SS23,24
2023-08-27,nike,global,74.0,54.8148,0.0,-1.3333,,SS23,25
2023-08-27,nike,korea,64.0,54.7009,-3.0303,-8.5714,,SS23,25
2023-08-27,adidas,global,33.0,24.4444,3.125,-2.9412,,SS23,25
2023-08-27,adidas,korea,33.0,28.2051,6.4516,6.4516,,SS23,25
2023-08-27,puma,global,11.0,8.1481,0.0,-8.3333,,SS23,25
2023-08-27,puma,korea,7.0,5.9829,0.0,-22.2222,,SS23,25
2023-08-27,new_balance,global,17.0,12.5926,6.25,6.25,,SS23,25
2023-08-27,new_balance,korea,13.0,11.1111,0.0,8.3333,,SS23,25
2023-09-03,nike,global,71.0,54.1985,-4.0541,-6.5789,,SS23,26
2023-09-03,nike,korea,65.0,53.719,1.5625,-4.4118,,SS23,26
2023-09-03,adidas,global,33.0,25.1908,0.0,-5.7143,,SS23,26
2023-09-03,adidas,korea,34.0,28.0992,3.0303,9.6774,,SS23,26
2023-09-03,puma,global,11.0,8.3969,0.0,-8.3333,,SS23,26
2023-09-03,puma,korea,8.0,6.6116,14.2857,0.0,,SS23,26
2023-09-03,new_balance,global,16.0,12.2137,-5.8824,-5.8824,,SS23,26
2023-09-03,new_balance,korea,14.0,11.5702,7.6923,27.2727,,SS23,26
2023-09-10,nike,global,67.0,53.6,-5.6338,-5.6338,,FW23,1
2023-09-10,nike,korea,65.0,52.4194,0.0,3.1746,,FW23,1
2023-09-10,adidas,global,32.0,25.6,-3.0303,-3.0303,,FW23,1
2023-09-10,adidas,korea,34.0,27.4194,0.0,9.6774,,FW23,1
2023-09-10,puma,global,11.0,8.8,0.0,0.0,,FW23,1
2023-09-10,puma,korea,10.0,8.0645,25.0,42.8571,,FW23,1
2023-09-10,new_balance,global,15.0,12.0,-6.25,-6.25,,FW23,1
2023-09-10,new_balance,korea,15.0,12.0968,7.1429,7.1429,,FW23,1
2023-09-17,nike,global,69.0,52.2727,2.9851,-6.7568,,FW23,2
2023-09-17,nike,korea,67.0,54.0323,3.0769,1.5152,,FW23,2
2023-09-17,adidas,global,36.0,27.2727,12.5,12.5,,FW23,2
2023-09-17,adidas,korea,34.0,27.4194,0.0,9.6774,,FW23,2
2023-09-17,puma,global,11.0,8.3333,0.0,0.0,,FW23,2
2023-09-17,puma,korea,8.0,6.4516,-20.0,14.2857,,FW23,2
2023-09-17,new_balance,global,16.0,12.1212,6.6667,0.0,,FW23,2
2023-09-17,new_balance,korea,15.0,12.0968,0.0,15.3846,,FW23,2
2023-09-24,nike,global,70.0,54.2636,1.4493,-5.4054,,FW23,3
2023-09-24,nike,korea,70.0,53.4351,4.4776,9.375,,FW23,3
2023-09-24,adidas,global,32.0,24.8062,-11.1111,-3.0303,,FW23,3
2023-09-24,adidas,korea,36.0,27.4809,5.8824,9.0909,,FW23,3
2023-09-24,puma,global,11.0,8.5271,0.0,0.0,,FW23,3
2023-09-24,puma,korea,9.0,6.8702,12.5,28.5714,,FW23,3
2023-09-24,new_balance,global,16.0,12.4031,0.0,-5.8824,,FW23,3
2023-09-24,new_balance,korea,16.0,12.2137,6.6667,23.0769,,FW23,3
2023-10-01,nike,global,69.0,52.2727,-1.4286,-2.8169,,FW23,4
2023-10-01,nike,korea,71.0,52.2059,1.4286,9.2308,,FW23,4
2023-10-01,adidas,global,33.0,25.0,3.125,0.0,,FW23,4
2023-10-01,adidas,korea,38.0,27.9412,5.5556,11.7647,,FW23,4
2023-10-01,puma,global,13.0,9.8485,18.1818,18.1818,,FW23,4
2023-10-01,puma,korea,9.0,6.6176,0.0,12.5,,FW23,4
2023-10-01,new_balance,global,17.0,12.8788,6.25,6.25,,FW23,4
2023-10-01,new_balance,korea,18.0,13.2353,12.5,28.5714,,FW23,4
2023-10-08,nike,global,70.0,53.4351,1.4493,4.4776,,FW23,5
2023-10-08,nike,korea,74.0,54.4118,4.2254,13.8462,,FW23,5
2023-10-08,adidas,global,33.0,25.1908,0.0,3.125,,FW23,5
2023-10-08,adidas,korea,35.0,25.7353,-7.8947,2.9412,,FW23,5
2023-10-08,puma,global,12.0,9.1603,-7.6923,9.0909,,FW23,5
2023-10-08,puma,korea,9.0,6.6176,0.0,-10.0,,FW23,5
2023-10-08,new_balance,global,16.0,12.2137,-5.8824,6.6667,,FW23,5
2023-10-08,new_balance,korea,18.0,13.2353,0.0,20.0,,FW23,5
2023-10-15,nike,global,71.0,52.9851,1.4286,2.8986,,FW23,6
2023-10-15,nike,korea,86.0,58.5034,16.2162,28.3582,,FW23,6
2023-10-15,adidas,global,37.0,27.6119,12.1212,2.7778,,FW23,6
2023-10-15,adidas,korea,37.0,25.1701,5.7143,8.8235,,FW23,6
2023-10-15,puma,global,11.0,8.209,-8.3333,0.0,,FW23,6
2023-10-15,puma,korea,8.0,5.4422,-11.1111,0.0,,FW23,6
2023-10-15,new_balance,global,15.0,11.194,-6.25,-6.25,,FW23,6
2023-10-15,new_balance,korea,16.0,10.8844,-11.1111,6.6667,,FW23,6
2023-10-22,nike,global,68.0,52.3077,-4.2254,-2.8571,,FW23,7
2023-10-22,nike,korea,78.0,56.1151,-9.3023,11.4286,,FW23,7
2023-10-22,adidas,global,36.0,27.6923,-2.7027,12.5,,FW23,7
2023-10-22,adidas,korea,38.0,27.3381,2.7027,5.5556,,FW23,7
2023-10-22,puma,global,11.0,8.4615,0.0,0.0,,FW23,7
2023-10-22,puma,korea,7.0,5.036,-12.5,-22.2222,,FW23,7
2023-10-22,new_balance,global,15.0,11.5385,0.0,-6.25,,FW23,7
2023-10-22,new_balance,korea,16.0,11.5108,0.0,0.0,,FW23,7
2023-10-29,nike,global,65.0,51.5873,-4.4118,-5.7971,,FW23,8
2023-10-29,nike,korea,67.0,53.1746,-14.1026,-5.6338,,FW23,8
2023-10-29,adidas,global,36.0,28.5714,0.0,9.0909,,FW23,8
